Song name,Length of the music,Artist,Producers,Language,Rating of the song,Released Year
See You Again,3:49,Wiz Khalifa ft. Charlie Puth,Charlie Puth DJ Frank E Andrew Cedar,English,3.21 / 5,2015
Sorry,3:20,Justin Bieber,SB Films and Taktix Films,English,4.10 / 5,2015
Uptown Funk,4:30,Mark Ronson ft. Bruno Mars,Bruno Mars,English,4.00 / 5,2014
Blank Space,3:52,Taylor Swift,"Max Martin, Taylor Swift",English,3.50 / 5,2014
Shake It Off,3:40,Taylor Swift,"Max Martin, Taylor Swift",English,3.55 / 5,2014
Lean On,2:56,Major Lazer & Dj Shake ft. Mo,Per Welén,English,3.75 / 5,2015
Hello,4:55, Adele,"Nancy Grant, Xavier Dolan",English,4.20 / 5,2015
Sugar,2:54,Maroon 5,Adam Levine,English,4.20 / 5,2015
Roar,3:42,Kary Perry,Kary Perry,English,4.21 / 5,2013
All About That Bass,3:09,Meghan Trainor,Meghan Trainor,English,4.45 / 5,2014
