age,gender,genre
10,1,Acoustic
13,1,HipHop
15,1,HipHop
16,1,Jazz
19,1,Acoustic
20,1,Jazz
31,1,Classical
23,1,HipHop
27,1,Classical
20,0,Dance
11,0,Acoustic
25,0,Dance
26,0,Acoustic
27,0,Acoustic
20,0,HipHop
31,0,Classical
45,0,Classical
35,0,Classical
20,1,HipHop
23,1,HipHop
25,1,HipHop
26,1,Acoustic
29,1,Jazz
30,1,Jazz
31,1,Classical
33,1,Classical
37,1,Classical
20,0,Dance
21,0,Dance
25,0,Dance
26,0,Acoustic
27,0,Acoustic
30,0,Acoustic
31,0,Classical
34,0,Classical
35,0,Classical
